
    date   smlo_vwret  smlo_nfirms   smlo_msize   smme_vwret  smme_nfirms   smme_msize   smhi_vwret  smhi_nfirms   smhi_msize   bilo_vwret  bilo_nfirms   bilo_msize   bime_vwret  bime_nfirms   bime_msize   bihi_vwret  bihi_nfirms   bihi_msize
20050331      -0.0392         1145        408.4      -0.0242         1240       432.64      -0.0174          889       291.18      -0.0123          431     16140.33      -0.0283          308     12273.46      -0.0011          149     10137.65
20050429      -0.0635         1138       393.16      -0.0582         1232       420.38      -0.0632          882       287.44      -0.0134          429      15974.7      -0.0295          307     11934.33      -0.0232          149     10109.95
20050531       0.0733         1130       367.42       0.0621         1223       396.62       0.0556          870       269.21       0.0393          428     15777.52       0.0296          307     11566.51       0.0337          149      9861.62
20050630       0.0261         1121        396.1       0.0424         1217       422.65       0.0449          865       284.75      -0.0098          427     16402.43       0.0198          306     11912.74       0.0264          148     10196.72
20050729       0.0665         1251       438.31       0.0692         1238       423.77       0.0613          958       282.77       0.0462          400     15801.24       0.0257          322     13413.87       0.0421          176     10762.01
20050831      -0.0199         1245       468.01      -0.0135         1227       454.28      -0.0089          951       301.82      -0.0164          396     16569.87      -0.0003          318     13778.89       0.0011          175     11200.87
20050930       0.0051         1238       457.37       0.0066         1219       449.81       0.0048          946        299.9      -0.0023          396     16273.52       0.0162          317     13768.59       0.0215          175     11193.75
20051031      -0.0365         1224       460.42      -0.0282         1209       454.37      -0.0248          941       302.52      -0.0026          395     16114.63      -0.0272          314      14077.6      -0.0284          175     11422.82
20051130       0.0508         1217       443.02       0.0473         1199       442.81       0.0352          935       296.38       0.0426          394     16092.43       0.0386          313     13707.81       0.0221          174        11035
20051230      -0.0021         1210       466.57      -0.0011         1194       462.41      -0.0031          919        302.5      -0.0065          393     16786.29       0.0104          311     14232.14       0.0041          172     11309.92
20060131       0.0868         1200       467.26       0.0957         1185       463.43       0.0774          909       303.82       0.0126          391     16723.35       0.0407          308     14349.34       0.0447          171     11370.49
20060228      -0.0039         1191       506.99      -0.0035         1178       508.13       -0.007          900       328.19       0.0033          389     16980.67       0.0034          306     14987.13      -0.0102          171     11858.86
20060331       0.0417         1182        505.3       0.0557         1174       506.37       0.0482          894       326.83       0.0158          387     17078.25       0.0157          303     15111.05        0.008          170     11783.62
20060428      -0.0076         1172       526.78       0.0098         1166       534.76       0.0159          890       343.15      -0.0031          386     17307.02       0.0232          300     15301.38        0.035          168     11937.43
20060531      -0.0764         1163       522.98      -0.0457         1161       538.54      -0.0389          880       349.98      -0.0313          385     17267.41      -0.0269          300     15633.37      -0.0131          166     12269.96
20060630      -0.0062         1156       482.65       0.0018         1153       514.57        0.003          878       336.74      -0.0037          382     16797.15            0          297     15264.94       0.0171          166     12082.79
